system:index,ano,data_inicio,dewpoint_temperature_2m,local,mes,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
0,2018,2018-01-01,296.45516949608214,UFPA_Belem,1,100973.43071056547,299.53675651550293,0.00133704416759951,-1.373882600239345,-1.6499457983743577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2018,2018-01-08,296.2395981379918,UFPA_Belem,1,100999.07621837797,299.03919728597003,0.0022571816555310683,-1.5701884201594762,-1.032752275466919,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2018,2018-01-15,296.53437596275694,UFPA_Belem,1,100952.16431826637,299.28324772062757,0.003010237281495774,-1.6437921807879494,-1.2290686141876948,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2018,2018-01-22,296.5076330275763,UFPA_Belem,1,100791.94387090774,298.6851917448498,0.005597377492275682,-1.5015877201443626,-1.2894924141111828,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2018,2018-01-29,296.9413643791562,UFPA_Belem,1,100699.39378720238,299.0439098903111,0.013996935479913273,-1.200465508869716,-1.3878159352711268,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2018,2018-02-05,296.53872753324964,UFPA_Belem,2,100890.2339797247,298.8639683496384,0.007121286015210761,-1.0224120673679171,-1.562865864662897,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2018,2018-02-12,296.41725204104466,UFPA_Belem,2,101007.6257672991,298.65225183396115,0.008154049535833176,-0.9491638456072126,-0.7976009561902001,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2018,2018-02-19,296.34891564505443,UFPA_Belem,2,100940.44780040922,298.3444714319138,0.006468843243340067,-0.018437430972144717,-0.8658310629072643,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2018,2018-02-26,296.6011927468436,UFPA_Belem,2,100983.16403924851,299.03889192853654,0.004395994995043395,-1.2019646848951067,-0.9576908236458188,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2018,2018-03-05,296.666038059053,UFPA_Belem,3,100945.20579892113,299.3190137772333,0.0029501363906412337,-1.7125915175392514,-1.8243398098718553,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2018,2018-03-12,296.9234298524402,UFPA_Belem,3,100938.10474795387,299.33471706935336,0.0038127625848983506,-1.5128421783447266,-1.6154583181653703,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2018,2018-03-19,296.77889660426547,UFPA_Belem,3,100886.28571428571,299.13492230006625,0.004370455336265471,-1.501464537211827,-1.1137897230329967,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2018,2018-03-26,296.81421379815964,UFPA_Belem,3,100885.60009765625,298.60144306364515,0.005509063323805382,-1.1385508548645746,-0.5824875604538691,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2018,2018-04-02,296.70305706205824,UFPA_Belem,4,100862.76106770833,298.3570971716018,0.016581258951292217,-0.43878795419420513,-0.6502862090156192,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2018,2018-04-09,296.2467799413772,UFPA_Belem,4,101081.91376023066,298.4513666062128,0.006319488737623774,-0.7460143679664248,-0.46816266150701613,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2018,2018-04-16,296.81948752630325,UFPA_Belem,4,101110.5242047991,299.0287032354446,0.004422960896244827,-1.3600116343725295,-0.7603463672456288,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2018,2018-04-23,296.9674221220471,UFPA_Belem,4,101042.03683035714,299.210878826323,0.003859676149101263,-1.593615486508324,-0.625207089242481,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2018,2018-04-30,296.75082724434986,UFPA_Belem,4,101110.93510509672,298.7467036474319,0.00480029759595996,-1.3674777973265875,-0.5388875575292678,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2018,2018-05-07,296.68230674380345,UFPA_Belem,5,101084.947265625,298.70826766604466,0.005961716342836371,-1.0240081605457125,-0.5584086463564918,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2018,2018-05-14,296.68505886622836,UFPA_Belem,5,100985.27741350446,299.3615761711484,0.002152636480472269,-1.6680537462234497,-0.7543850739796957,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2018,2018-05-21,296.8128574916295,UFPA_Belem,5,101083.93264043899,299.2106394086565,0.0026348669298029755,-1.473643529982794,-0.5230738265173775,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2018,2018-05-28,296.8122357868013,UFPA_Belem,5,101071.6505998884,299.24128568740116,0.00425175331918602,-1.6321280343191964,-0.31128237928662983,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2018,2018-06-04,296.83021499997096,UFPA_Belem,6,101121.81091889882,299.9157635825021,0.0016794777410381971,-1.9191124325706845,-0.5422993841625395,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2018,2018-06-11,296.34989411490307,UFPA_Belem,6,101202.6332077753,300.05405734834216,0.0010455946423154774,-1.7234553382510232,-0.2548891305923462,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2018,2018-06-18,296.2221193767729,UFPA_Belem,6,101261.36456008184,299.24518512544176,7.283894761640804E-4,-1.9696861448742093,-0.26658245495387484,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2018,2018-06-25,296.27789233979723,UFPA_Belem,6,101014.42959449405,299.8425686245873,5.480645479935145E-4,-1.6023198990594774,-0.7051740941547212,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2018,2018-07-02,296.3989730108352,UFPA_Belem,7,101060.70617094493,299.50603158133373,0.0011207160106437482,-1.5010548659733363,-0.6922318765095302,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2018,2018-07-09,296.2952909015474,UFPA_Belem,7,101231.83293805804,299.3076873052688,0.0013678626319245499,-1.8890239681516374,-0.7735529400053478,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2018,2018-07-16,296.0986389886765,UFPA_Belem,7,101113.45049758184,300.03818775358656,1.6605425464292063E-4,-2.0090530032203313,-0.7242488236654372,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2018,2018-07-23,296.59076327369326,UFPA_Belem,7,101195.9115280878,299.6518571944464,9.268497032836212E-4,-2.1102612813313804,-1.1287174906049455,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2018,2018-07-30,296.12454196384977,UFPA_Belem,7,101083.76048642113,299.50314667111354,5.928873243576303E-4,-2.170246124267578,-0.9266519319443476,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2018,2018-08-06,296.3237103053502,UFPA_Belem,8,101253.05682663691,299.61992363702683,2.5661958219499087E-4,-2.052990958804176,-1.2516507307688396,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2018,2018-08-13,295.5832984561012,UFPA_Belem,8,101237.3410295759,299.8679894038609,4.558098968588783E-4,-2.2585271199544272,-1.3318412020092918,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2018,2018-08-20,295.94000135149275,UFPA_Belem,8,101213.69208054316,299.9820907229469,1.6710016274266794E-4,-1.9978406996954055,-1.5258544853755407,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2018,2018-08-27,296.1931066058931,UFPA_Belem,8,101032.00895182292,300.39547248113723,2.321789816451338E-4,-1.9894293262844993,-1.6498582249596006,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2018,2018-09-03,296.39486739749,UFPA_Belem,9,100993.66213262649,300.39458202180407,5.704733706779274E-4,-1.755827858334496,-1.4578204495566232,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2018,2018-09-10,295.7255906604585,UFPA_Belem,9,100903.35735212054,300.7180989583333,1.414136831797115E-4,-2.528028760637556,-1.4102452596028645,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2018,2018-09-17,295.9775155385335,UFPA_Belem,9,100911.44077845982,300.9105059305827,1.6885528452283336E-4,-2.327781495593843,-1.7384991759345645,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2018,2018-09-24,295.5009972708566,UFPA_Belem,9,100887.93198939732,301.0497978755406,1.0008045926669849E-4,-2.449182692028227,-1.913946163086664,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2018,2018-10-01,295.78816595531646,UFPA_Belem,10,100934.83735584078,301.15428688412624,2.3845187660944572E-4,-2.1716863881973993,-1.8957335835411435,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2018,2018-10-08,295.4660694485619,UFPA_Belem,10,100937.56889415922,301.4332349868048,1.1597411251433664E-4,-2.239190873645601,-2.048562997863406,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2018,2018-10-15,296.15268734523227,UFPA_Belem,10,100777.17215401786,301.1405756814139,7.086948515142683E-4,-1.7921647401083083,-1.6886467309225173,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2018,2018-10-22,295.740657443092,UFPA_Belem,10,100829.70642671132,301.73551677522204,7.096704455187921E-5,-2.1758523157664706,-1.8427780015128,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2018,2018-10-29,295.93987346830824,UFPA_Belem,10,100834.47437686012,301.80663354056225,1.3116158252606574E-4,-1.9254408734185355,-2.0561524629592896,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2018,2018-11-05,295.8492617834182,UFPA_Belem,11,100742.60974702382,301.84204873584565,1.7646615436244027E-4,-2.0756158715202693,-1.6681715874444871,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2018,2018-11-12,295.67144203186035,UFPA_Belem,11,100793.52443731399,301.9410994393485,9.12582923298417E-5,-2.217020381064642,-1.8808405683154152,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2018,2018-11-19,296.3359579358782,UFPA_Belem,11,100829.59035528274,301.37215178353443,0.0012623828879955432,-2.041305360339937,-1.8224176849637712,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2018,2018-11-26,297.15712828863235,UFPA_Belem,11,100794.44431268601,299.6108207702637,0.00711077939723026,-1.1842160338447207,-1.0173285348074776,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2018,2018-12-03,296.84748922075545,UFPA_Belem,12,100964.98456101191,298.81771905081615,0.005545877504015044,-0.45134250322977704,-0.6634659483319237,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2018,2018-12-10,296.50997234526136,UFPA_Belem,12,101209.54022507441,298.4872610909598,0.004424859775368926,-1.5458283254078455,-0.6229331436611357,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2018,2018-12-17,296.7118206932431,UFPA_Belem,12,101014.16234188988,299.241214570545,0.0024803396127269202,-1.6109013216836112,-1.2381133352007185,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2018,2018-12-24,296.4770364307222,UFPA_Belem,12,100913.91824776786,299.3906274523054,0.002890308819152817,-1.5477129220962524,-1.3735924107687814,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2018,2018-12-31,296.8589859008789,UFPA_Belem,12,101016.05199032738,299.6363830566406,0.002074582100008802,-1.6900868529365176,-1.3578979798725672,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2019,2019-01-07,296.266178494408,UFPA_Belem,1,101027.95912388393,298.47198159354076,0.0038328694537047093,-1.4112917695726668,-0.9845988239560809,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2019,2019-01-14,296.5604355221703,UFPA_Belem,1,101100.6310686384,298.8466568901425,0.005616843722093453,-1.4487176338831584,-0.9226634843008858,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2019,2019-01-21,296.76699374970934,UFPA_Belem,1,101087.37688337054,299.2689705803281,0.0027691328625231108,-1.070341081846328,-1.4090725013187952,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2019,2019-01-28,297.04840778169176,UFPA_Belem,1,101001.34033203125,299.5924498240153,0.0032815654335363676,-1.425532096908206,-1.232151400475275,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2019,2019-02-04,296.92328053429014,UFPA_Belem,2,100872.24069940476,298.8372383117676,0.022293291907228424,-1.022609069233849,-0.8060317834218343,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2019,2019-02-11,296.90445999872117,UFPA_Belem,2,101011.96682012649,299.2647042955671,0.004397185391808429,-1.4215987977527438,-1.4993281818571544,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2019,2019-02-18,296.7498669397263,UFPA_Belem,2,101052.16910807292,298.44499006725493,0.008102585452158044,-1.1296173277355375,-1.0126017048245384,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2019,2019-02-25,296.29052707127164,UFPA_Belem,2,101121.85219029018,298.3263877687,0.007493852287034031,-0.8676424707685199,-1.518773737407866,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2019,2019-03-04,296.43407939729235,UFPA_Belem,3,101112.30315290179,298.37509009951634,0.006466300610225874,-1.3861755984170097,-1.2489649454752605,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2019,2019-03-11,296.6616962069557,UFPA_Belem,3,100992.10963076637,298.8729413350423,0.005532288955167843,-1.126539525531587,-1.2994849738620577,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2019,2019-03-18,296.72707421439037,UFPA_Belem,3,101022.08961123512,298.8169759114583,0.004634738647744996,-0.8442174820672899,-1.6530541011265345,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2019,2019-03-25,296.841448375157,UFPA_Belem,3,101046.25881231399,298.62957009815034,0.011605384385090142,-1.1747013103394282,-1.297762087413243,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2019,2019-04-01,296.93342172531857,UFPA_Belem,4,101042.25341796875,298.78199695405505,0.006356255495596993,-0.415412357875279,-1.443911149388268,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2019,2019-04-08,296.8769839150565,UFPA_Belem,4,101013.88278924851,298.80614680335634,0.007396772280307112,-1.0293277558826266,-0.7302018858137584,"{""type"":""MultiPoint"",""coordinates"":[]}"
