Data,NO2
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,5.160936381949835E-5
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,5.036210336610214E-5
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,5.1643718987432505E-5
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,4.748921805600609E-5
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,4.484676217293438E-5
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,5.049850369687192E-5
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,3.325821599813894E-5
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-08,4.040499066756227E-5
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-09,4.821344063761673E-5
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,4.790221684119041E-5
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,5.3078788203911355E-5
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,4.814039983805281E-5
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-12,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,5.374887401261492E-5
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,4.08797241107095E-5
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-14,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,4.42179864639437E-5
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-15,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-16,5.247876851805945E-5
2018-07-16,
2018-07-16,
2018-07-16,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,4.586417059676423E-5
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-17,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,5.4558572722189107E-5
